dim_production_location_id,country_code,country_name,dim_production_id,production_code,production_name,dim_auditorium_id,production_location_id,sales_start_date,production_location_premiere_date,production_location_start_date,production_location_end_date,production_location_derniere_date,is_expired,production_location_capacity,production_location_description,production_location_type,show_in_group_sales_reporting,show_in_group_salesreporting_name
83,DE,Germany,9,NY,Ich war noch niemals in New York,4,DE - NY - TAE - 1,2016-10-10 00:00:00.000,2017-01-19 00:00:00.000,2017-01-19 00:00:00.000,2017-09-10 00:00:00.000,2017-09-10 00:00:00.000,1,1880,_N/A,Sit Down,1,Yes
84,DE,Germany,13,TAR,Tarzan,5,DE - TAR - TNF - 1,2008-01-04 00:00:00.000,2008-10-19 00:00:00.000,2008-10-21 00:00:00.000,2013-10-02 00:00:00.000,2013-10-02 00:00:00.000,1,1870,_N/A,Sit Down,1,Yes
85,DE,Germany,13,TAR,Tarzan,2,DE - TAR - APO - 1,2013-03-20 00:00:00.000,2013-11-21 00:00:00.000,2013-11-21 00:00:00.000,2016-08-28 00:00:00.000,2016-08-28 00:00:00.000,1,1743,_N/A,Sit Down,1,Yes
86,DE,Germany,13,TAR,Tarzan,11,DE - TAR - MET - 1,2016-01-28 00:00:00.000,2016-11-06 00:00:00.000,2016-11-10 00:00:00.000,2018-09-23 00:00:00.000,2018-09-23 00:00:00.000,1,1648,_N/A,Sit Down,1,Yes
87,DE,Germany,1,ALA,Aladdin,5,DE - ALA - TNF - 1,2014-10-29 00:00:00.000,2015-12-06 00:00:00.000,2015-12-08 00:00:00.000,2019-02-03 00:00:00.000,2019-02-03 00:00:00.000,1,1880,_N/A,Sit Down,1,Yes
88,DE,Germany,4,GVN,Der Glöckner von Notre Dame,9,DE - GVN - TDW - 1,2016-10-04 00:00:00.000,2017-04-09 00:00:00.000,2017-04-11 00:00:00.000,2017-11-05 00:00:00.000,2017-11-05 00:00:00.000,1,1647,_N/A,Sit Down,1,Yes
89,DE,Germany,16,WVB,Das Wunder von Bern,4,DE - WVB - TAE - 1,2014-01-30 00:00:00.000,2014-11-23 00:00:00.000,2014-11-24 00:00:00.000,2017-01-05 00:00:00.000,2017-01-05 00:00:00.000,1,1850,_N/A,Sit Down,1,Yes
90,DE,Germany,10,PDO,Das Phantom der Oper,12,DE - PDO - PAL - 1,,2002-11-01 00:00:00.000,2002-11-03 00:00:00.000,2004-05-23 00:00:00.000,2004-05-23 00:00:00.000,1,1754,_N/A,Sit Down,1,Yes
91,DE,Germany,10,PDO,Das Phantom der Oper,1,DE - PDO - COL - 1,2005-03-04 00:00:00.000,2005-09-29 00:00:00.000,2005-10-01 00:00:00.000,2007-03-10 00:00:00.000,2007-03-10 00:00:00.000,1,1640,_N/A,Sit Down,1,Yes
92,DE,Germany,10,PDO,Das Phantom der Oper,5,DE - PDO - TNF - 1,2013-02-20 00:00:00.000,2013-11-28 00:00:00.000,2013-11-29 00:00:00.000,2015-09-30 00:00:00.000,2015-09-30 00:00:00.000,1,1860,_N/A,Sit Down,1,Yes
93,DE,Germany,10,PDO,Das Phantom der Oper,11,DE - PDO - MET - 1,2015-02-19 00:00:00.000,2015-11-12 00:00:00.000,2015-11-14 00:00:00.000,2016-09-04 00:00:00.000,2016-09-04 00:00:00.000,1,1616,_N/A,Sit Down,1,Yes
94,DE,Germany,3,CHI,Chicago,12,DE - CHI - PAL - 1,2014-03-10 00:00:00.000,2014-11-06 00:00:00.000,2014-11-06 00:00:00.000,2015-09-17 00:00:00.000,2015-09-17 00:00:00.000,1,1832,_N/A,Sit Down,1,Yes
95,DE,Germany,3,CHI,Chicago,9,DE - CHI - TDW - 1,2015-05-11 00:00:00.000,2015-10-11 00:00:00.000,2015-10-13 00:00:00.000,2016-01-17 00:00:00.000,2016-01-17 00:00:00.000,1,1653,_N/A,Sit Down,1,Yes
96,DE,Germany,6,LSN,Liebe stirbt nie,6,DE - LSN - OPH - 1,2015-02-24 00:00:00.000,2015-10-15 00:00:00.000,2015-10-16 00:00:00.000,2016-09-25 00:00:00.000,2016-09-25 00:00:00.000,1,1381,_N/A,Sit Down,1,Yes
97,DE,Germany,7,MM,Mamma Mia!,6,DE - MM - OPH - 1,,2002-11-03 00:00:00.000,2002-11-05 00:00:00.000,2007-09-08 00:00:00.000,2007-09-08 00:00:00.000,1,1390,_N/A,Sit Down,1,Yes
98,DE,Germany,7,MM,Mamma Mia!,12,DE - MM - PAL - 1,2003-11-28 00:00:00.000,2004-07-18 00:00:00.000,2004-07-20 00:00:00.000,2007-09-09 00:00:00.000,2007-09-09 00:00:00.000,1,1831,_N/A,Sit Down,1,Yes
99,DE,Germany,7,MM,Mamma Mia!,1,DE - MM - COL - 1,2006-12-06 00:00:00.000,2007-05-06 00:00:00.000,2007-05-09 00:00:00.000,2008-07-27 00:00:00.000,2008-07-27 00:00:00.000,1,1640,_N/A,Sit Down,1,Yes
100,DE,Germany,7,MM,Mamma Mia!,10,DE - MM - TPP - 1,2007-06-04 00:00:00.000,2007-10-21 00:00:00.000,2007-10-24 00:00:00.000,2009-01-26 00:00:00.000,2009-01-26 00:00:00.000,1,1750,_N/A,Sit Down,1,Yes
101,DE,Germany,7,MM,Mamma Mia!,12,DE - MM - PAL - 2,2012-07-25 00:00:00.000,2013-02-14 00:00:00.000,2013-02-14 00:00:00.000,2014-10-05 00:00:00.000,2014-10-05 00:00:00.000,1,1807,_N/A,Sit Down,1,Yes
102,DE,Germany,7,MM,Mamma Mia!,9,DE - MM - TDW - 1,2014-05-28 00:00:00.000,2014-10-26 00:00:00.000,2014-10-28 00:00:00.000,2015-02-14 00:00:00.000,2015-02-14 00:00:00.000,1,1568,_N/A,Sit Down,1,Yes
