DimPriceTypeId,PriceTypeId,PriceTypeName,PriceTypeGroup
134,PRO - SAN - SANOMA,SANOMA,PROMOTION
135,PRO - 29FP - 29€ FIXED PRICE,29€ FIXED PRICE,PROMOTION
136,PRO - 10FP - 10€ FIXED PRICE,10€ FIXED PRICE,PROMOTION
137,"PRO - 1250D - 12,50€ DISCOUNT","12,50€ DISCOUNT",PROMOTION
138,"PRO - 1250FP - 12,50€ FIXED PRICE","12,50€ FIXED PRICE",PROMOTION
139,PRO - 15FP - 15€ FIXED PRICE,15€ FIXED PRICE,PROMOTION
140,PRO - 20FP - 20€ FIXED PRICE,20€ FIXED PRICE,PROMOTION
141,PRO - 25FP - 25€ FIXED PRICE,25€ FIXED PRICE,PROMOTION
142,"PRO - 2750FP - 27,50€ FIXED PRICE","27,50€ FIXED PRICE",PROMOTION
143,"PRO - 2995FP - 29,95€ FIXED PRICE","29,95€ FIXED PRICE",PROMOTION
144,PRO - 30FP - 30€ FIXED PRICE,30€ FIXED PRICE,PROMOTION
145,"PRO - 3495FP - 34,95€ FIXED PRICE","34,95€ FIXED PRICE",PROMOTION
146,PRO - 35FP - 35€ FIXED PRICE,35€ FIXED PRICE,PROMOTION
147,"PRO - 3750D - 37,50€ DISCOUNT","37,50€ DISCOUNT",PROMOTION
148,"PRO - 3750FP - 37,50€ FIXED PRICE","37,50€ FIXED PRICE",PROMOTION
149,"PRO - 375FP - 3,75€ FIXED PRICE","3,75€ FIXED PRICE",PROMOTION
150,"PRO - 3995FP - 39,95€ FIXED PRICE","39,95€ FIXED PRICE",PROMOTION
151,"PRO - 4250FP - 42,50€ FIXED PRICE","42,50€ FIXED PRICE",PROMOTION
152,PRO - 45FP - 45€ FIXED PRICE,45€ FIXED PRICE,PROMOTION
153,"PRO - 4750FP - 47,50€ FIXED PRICE","47,50€ FIXED PRICE",PROMOTION
154,"PRO - 4995FP - 49,95€ FIXED PRICE","49,95€ FIXED PRICE",PROMOTION
155,"PRO - 5250FP - 52,50€ FIXED PRICE","52,50€ FIXED PRICE",PROMOTION
156,PRO - 5FP - 5€ FIXED PRICE,5€ FIXED PRICE,PROMOTION
157,PRO - 9D - 9€ DISCOUNT,9€ DISCOUNT,PROMOTION
158,PRO - 60P - 60% DISCOUNT,60% DISCOUNT,PROMOTION
159,PRO - 65P - 65% DISCOUNT,65% DISCOUNT,PROMOTION
160,FP - SETAARR - FULL PRICE (SETA ARR),FULL PRICE (SETA ARR),FULL PRICE
161,FP - SETATO - FULL PRICE (SETA TO),FULL PRICE (SETA TO),FULL PRICE
162,PRO - PP - PRODUCT PLUS,PRODUCT PLUS,PROMOTION
163,PRO - RF - RESELLER FEE,RESELLER FEE,PROMOTION
164,PRO - 7D - 7€ DISCOUNT,7€ DISCOUNT,PROMOTION
165,PRO - LOT - LOTTERY,LOTTERY,PROMOTION
166,PRO - NPL - NATIONALE POSTCODE LOTERIJ,NATIONALE POSTCODE LOTERIJ,PROMOTION
167,FP - HOTEL - FULL PRICE (HOTEL),FULL PRICE (HOTEL),FULL PRICE
168,F&B - PAU - PAUSE,PAUSE,FOOD & BEVERAGE
169,F&B - OTHER - OTHER,OTHER,FOOD & BEVERAGE
170,PRO - 55P - 55% DISCOUNT,55% DISCOUNT,PROMOTION
171,KIDS - KIDS ACADEMY,KIDS ACADEMY,DISCOUNT
172,F&B - VOU - F&B VOUCHER,F&B VOUCHER,FOOD & BEVERAGE
173,PRO - YTFO - YOUTH TRAINS FOR OLYMPIA,YOUTH TRAINS FOR OLYMPIA,PROMOTION
174,PRO - BYO - BUYOUT,BUYOUT,PROMOTION
175,PRO - AMB - AMBASSADOR,AMBASSADOR,PROMOTION
176,PRO - PERS - PERSGROEP,PERSGROEP,PROMOTION
177,PRO - 10DRF - 10€ DISCOUNT + RF,10€ DISCOUNT + RF,PROMOTION
178,PRO - 15DRF - 15€ DISCOUNT + RF,15€ DISCOUNT + RF,PROMOTION
179,PRO - 20DRF - 20€ DISCOUNT + RF,20€ DISCOUNT + RF,PROMOTION
180,PRO - UP1RF - UPGRADE (SINGLE) + RF,UPGRADE (SINGLE) + RF,PROMOTION
181,PRO - OTHERRF - OTHER + RF,OTHER + RF,PROMOTION
182,PRO - 25DRF - 25€ DISCOUNT + RF,25€ DISCOUNT + RF,PROMOTION
183,PRO - 50PRF - 50% DISCOUNT + RF,50% DISCOUNT + RF,PROMOTION
184,PRO - 25PRF - 25% DISCOUNT + RF,25% DISCOUNT + RF,PROMOTION
185,PRO - 40PRF - 40% DISCOUNT + RF,40% DISCOUNT + RF,PROMOTION
186,B2B - B2B,B2B,FULL PRICE
187,INDIVIDUAL - INDIVIDUAL,INDIVIDUAL,FULL PRICE
188,GRUPOS - GRUPOS,GRUPOS,PROMOTION
189,TURISMO IND. - TURISMO IND.,TURISMO IND.,PROMOTION
190,TURISMO GRUPOS - TURISMO GRUPOS,TURISMO GRUPOS,PROMOTION
191,"PRO - 9990FP - 99,90€ FIXED PRICE","99,90€ FIXED PRICE",PROMOTION
192,PRO - 5DRF - 5€ DISCOUNT + RF,5€ DISCOUNT + RF,PROMOTION
193,STD - GRRES - GROUPS RESELLERS,GROUPS RESELLERS,PROMOTION
194,STD - RES - RESELLERS,RESELLERS,PROMOTION
195,PRO - B2C - PROMO B2C DIRECT,PROMO B2C DIRECT,PROMOTION
196,PRO - RES - PROMO RESELLERS B2C,PROMO RESELLERS B2C,PROMOTION
197,INV - COM - INVITATIONS COMMERCIALES,INVITATIONS COMMERCIALES,PROMOTION
198,FP - RES - FULL PRICE RESELLERS,FULL PRICE RESELLERS,FULL PRICE
