DimProductionId,CountryCode,CountryName,ProductionCode,ProductionName,IsExpired,LicenseName,Licensor,LicenseType,ProductionId,LicenseClassification
207,DE,Germany,BST,Backstage Tour,0,_N/A,_N/A,_N/A,DE - BST,_N/A
208,NL,Netherlands,AOL,Aspects Of Love,1,Aspects Of Love,_N/A,Musical,NL - AOL,_N/A
209,NL,Netherlands,ASU,All Shook Up,1,All Shook Up,_N/A,Musical,NL - ASU,_N/A
210,NL,Netherlands,BTBTOUR,Disney's Beauty And The Beast - Tour,1,Beauty and the Beast,Disney Theatrical Productions Ltd.,Musical,NL - BTBTOUR,Child
211,NL,Netherlands,CAGE,La Cage Aux Folles,1,La Cage Aux Folles,_N/A,Musical,NL - CAGE,_N/A
212,NL,Netherlands,CATS,Cats,1,Cats,Really Useful Group Ltd.,Musical,NL - CATS,SingThrough
213,NL,Netherlands,CDRTOUR,Ciske De Rat - Tour,1,Ciske de Rat,Stage Entertainment,Musical,NL - CDRTOUR,Child
214,NL,Netherlands,COPA,Copacabana,1,Copacabana,_N/A,Musical,NL - COPA,_N/A
215,NL,Netherlands,CRAZY,Crazy For You,1,Crazy For You,_N/A,Musical,NL - CRAZY,_N/A
216,NL,Netherlands,DROOM,Droomvlucht,1,Droomvlucht,_N/A,Musical,NL - DROOM,_N/A
217,NL,Netherlands,FOSSE,Fosse,1,Fosse,_N/A,Musical,NL - FOSSE,_N/A
218,NL,Netherlands,HSM,Disney's High School Musical,1,Disney's High School Musical,_N/A,Musical,NL - HSM,SingThrough
219,NL,Netherlands,JANTJES,De Jantjes,1,De Jantjes,_N/A,Musical,NL - JANTJES,_N/A
220,NL,Netherlands,JESUS,Jesus Christ Superstar,1,Jesus Christ Superstar,_N/A,Musical,NL - JESUS,_N/A
221,NL,Netherlands,LS,Love Story,1,Love Story,_N/A,Musical,NL - LS,_N/A
222,NL,Netherlands,MFL,My Fair Lady,1,My Fair Lady,_N/A,Musical,NL - MFL,_N/A
223,NL,Netherlands,NTT,Next To Normal,1,Next To Normal,_N/A,Musical,NL - NTT,_N/A
224,NL,Netherlands,PETTI,Petticoat,1,Petticoat,_N/A,Musical,NL - PETTI,_N/A
225,NL,Netherlands,SUNSET,Sunset Boulevard,1,Sunset Boulevard,_N/A,Musical,NL - SUNSET,_N/A
226,NL,Netherlands,TITANIC,Titanic,1,Titanic,_N/A,Musical,NL - TITANIC,Film
227,NL,Netherlands,TSOM03,The Sound Of Music 2003 - Tour,1,The Sound Of Music,Rodgers & Hammerstein Theatricals Europe Ltd.,Musical,NL - TSOM03TOUR,Film
228,NL,Netherlands,URINE,Urinetown,1,Urinetown,_N/A,Musical,NL - URINE,_N/A
229,NL,Netherlands,WSS,West Side Story,1,West Side Story,_N/A,Musical,NL - WSS,_N/A
230,NL,Netherlands,ZORRO,Zorro,1,Zorro,_N/A,Musical,NL - ZORRO,Child
231,DE,Germany,EIS,Die Eiskönigin,0,Frozen,Disney Theatrical Productions Ltd.,Musical,DE - EIS,Child
232,NL,Netherlands,HGIM22,Hij Gelooft In Mij,0,Hij Gelooft In Mij,_N/A,Musical,NL - HGIM22,Jukebox
233,NL,Netherlands,TSOM21,The Sound of Music,1,The Sound Of Music,Rodgers & Hammerstein Theatricals Europe Ltd.,Musical,NL - TSOM21,Film
234,DE,Germany,KD,Ku'damm 56,0,Ku'damm 56,BMG PopOut,Musical,DE - KD,Film
235,NL,Netherlands,AIDA23,Aida,0,Aida,Disney Theatrical Productions Ltd.,Musical,NL - AIDA23,SingThrough
236,FR,France,PRO,Les Producteurs,0,The producers,_N/A,Musical,FR - PRO,Film
237,DE,Germany,OB,Open Bar,0,_N/A,_N/A,_N/A,DE - OB,_N/A
